"","age","maritl","race","education","jobclass","wage"
"306550",28,"1. Never Married","1. White","3. Some College","1. Industrial",84.1000101164483
"379734",58,"2. Married","1. White","2. HS Grad","2. Information",105.927810775063
"376576",47,"2. Married","1. White","5. Advanced Degree","2. Information",163.515863976238
"158927",24,"1. Never Married","1. White","3. Some College","1. Industrial",63.1888610037461
"374739",56,"2. Married","1. White","4. College Grad","1. Industrial",134.705375118879
"83417",56,"2. Married","1. White","4. College Grad","1. Industrial",120.926701544426
"14351",23,"1. Never Married","4. Other","4. College Grad","2. Information",94.0727147457005
"159265",56,"2. Married","1. White","5. Advanced Degree","2. Information",132.487821126123
"157150",45,"2. Married","1. White","4. College Grad","2. Information",133.232350826567
"302614",30,"2. Married","3. Asian","5. Advanced Degree","2. Information",118.884359339886
"453033",46,"2. Married","1. White","5. Advanced Degree","1. Industrial",150.330653495766
"84994",48,"2. Married","1. White","5. Advanced Degree","1. Industrial",278.964466695847
"227948",50,"4. Divorced","1. White","2. HS Grad","1. Industrial",98.2692308087927
"380920",43,"1. Never Married","1. White","4. College Grad","2. Information",99.6894636984864
"231461",37,"2. Married","1. White","1. < HS Grad","1. Industrial",94.0727147457005
"160102",49,"4. Divorced","1. White","3. Some College","2. Information",176.989650489877
"448411",54,"2. Married","3. Asian","2. HS Grad","1. Industrial",94.0727147457005
"10055",30,"2. Married","1. White","5. Advanced Degree","2. Information",141.775856466307
"233682",44,"2. Married","1. White","2. HS Grad","1. Industrial",116.265324062503
"231216",28,"5. Separated","1. White","1. < HS Grad","1. Industrial",90.4819133566401
"9850",38,"2. Married","1. White","3. Some College","1. Industrial",141.77517233318
"161403",39,"2. Married","1. White","2. HS Grad","1. Industrial",63.0927167348386
"84260",34,"1. Never Married","1. White","4. College Grad","1. Industrial",151.591484239814
"306353",45,"2. Married","1. White","4. College Grad","1. Industrial",118.884359339886
"228023",58,"2. Married","1. White","2. HS Grad","1. Industrial",79.8549003093467
"156832",38,"2. Married","1. White","2. HS Grad","1. Industrial",104.004959912222
"304488",63,"2. Married","1. White","4. College Grad","1. Industrial",55.5361044177385
"305737",38,"2. Married","1. White","5. Advanced Degree","2. Information",99.6894636984864
"303148",31,"2. Married","1. White","3. Some College","1. Industrial",99.6894636984864
"447857",21,"1. Never Married","2. Black","2. HS Grad","2. Information",102.870246933215
"233741",38,"2. Married","1. White","4. College Grad","2. Information",164.646988930328
"85657",18,"1. Never Married","1. White","1. < HS Grad","1. Industrial",69.6190369046763
"379124",28,"1. Never Married","1. White","3. Some College","1. Industrial",99.6894636984864
"157694",33,"1. Never Married","1. White","4. College Grad","2. Information",114.475713290347
"83479",32,"2. Married","1. White","3. Some College","1. Industrial",99.6894636984864
"450888",29,"1. Never Married","1. White","2. HS Grad","2. Information",95.2307125669819
"14252",28,"2. Married","1. White","1. < HS Grad","1. Industrial",82.6796372966372
"14421",42,"2. Married","1. White","5. Advanced Degree","2. Information",116.943081320617
"301908",28,"3. Widowed","1. White","1. < HS Grad","2. Information",54.5981500331442
"452061",36,"2. Married","1. White","5. Advanced Degree","2. Information",138.299126920883
"304906",47,"2. Married","1. White","2. HS Grad","2. Information",130.982177377461
"302424",53,"2. Married","1. White","5. Advanced Degree","2. Information",281.745970551857
"159404",48,"2. Married","1. White","5. Advanced Degree","2. Information",163.515863976238
"305745",55,"2. Married","1. White","3. Some College","2. Information",126.323880709786
"376178",37,"2. Married","1. White","1. < HS Grad","1. Industrial",70.4760196469445
"450343",68,"2. Married","1. White","4. College Grad","2. Information",118.019753340006
"160548",65,"2. Married","4. Other","2. HS Grad","1. Industrial",71.3196387942183
"302678",37,"1. Never Married","1. White","4. College Grad","2. Information",114.475713290347
"302085",33,"2. Married","1. White","4. College Grad","2. Information",138.299126920883
"159635",19,"1. Never Married","1. White","2. HS Grad","2. Information",54.5981500331442
"82948",22,"1. Never Married","1. White","3. Some College","1. Industrial",80.4302079458208
"379828",45,"2. Married","1. White","3. Some College","1. Industrial",117.146816914805
"450063",36,"2. Married","1. White","5. Advanced Degree","1. Industrial",127.115743812184
"9535",37,"2. Married","3. Asian","1. < HS Grad","1. Industrial",81.2832532842527
"154111",24,"1. Never Married","1. White","2. HS Grad","1. Industrial",52.4070640482002
"305404",66,"2. Married","2. Black","1. < HS Grad","2. Information",99.6894636984864
"85550",35,"2. Married","3. Asian","1. < HS Grad","1. Industrial",63.1888610037461
"447980",33,"1. Never Married","1. White","4. College Grad","2. Information",196.125272594255
"85819",48,"1. Never Married","1. White","3. Some College","2. Information",107.903923866876
"450651",47,"2. Married","1. White","2. HS Grad","2. Information",51.2396549228382
"82222",41,"2. Married","1. White","3. Some College","1. Industrial",99.6894636984864
"12508",55,"2. Married","1. White","4. College Grad","2. Information",63.1888610037461
"377741",74,"4. Divorced","2. Black","5. Advanced Degree","2. Information",148.413159102577
"302139",33,"1. Never Married","1. White","4. College Grad","2. Information",99.6894636984864
"153833",62,"2. Married","1. White","5. Advanced Degree","2. Information",130.982177377461
"85624",56,"4. Divorced","1. White","2. HS Grad","1. Industrial",101.82435207568
"230790",29,"1. Never Married","1. White","5. Advanced Degree","2. Information",99.6894636984864
"449764",56,"1. Never Married","2. Black","1. < HS Grad","2. Information",79.8549003093467
"449202",47,"2. Married","2. Black","5. Advanced Degree","2. Information",160.642475408263
"13741",45,"2. Married","1. White","2. HS Grad","2. Information",134.705375118879
"302523",44,"2. Married","1. White","4. College Grad","2. Information",160.642475408263
"13718",45,"4. Divorced","2. Black","3. Some College","2. Information",75.3556793180091
"10378",40,"2. Married","1. White","4. College Grad","2. Information",136.15771083723
"9215",56,"2. Married","3. Asian","3. Some College","2. Information",81.9853178344996
"157493",47,"2. Married","3. Asian","4. College Grad","1. Industrial",176.989650489877
"302363",39,"2. Married","1. White","2. HS Grad","1. Industrial",118.886080351034
"449684",48,"2. Married","1. White","2. HS Grad","1. Industrial",94.0727147457005
"11238",44,"2. Married","2. Black","2. HS Grad","1. Industrial",99.6894636984864
"159751",42,"2. Married","1. White","5. Advanced Degree","2. Information",123.908567597957
"233537",61,"1. Never Married","1. White","5. Advanced Degree","1. Industrial",82.6796372966372
"229847",39,"2. Married","1. White","2. HS Grad","1. Industrial",81.2832532842527
"9864",30,"2. Married","2. Black","3. Some College","1. Industrial",104.921506533664
"447299",49,"4. Divorced","1. White","2. HS Grad","1. Industrial",99.6894636984864
"230128",31,"2. Married","1. White","1. < HS Grad","1. Industrial",81.2832532842527
"12999",35,"1. Never Married","3. Asian","2. HS Grad","1. Industrial",68.5086896572248
"160782",55,"2. Married","1. White","2. HS Grad","1. Industrial",81.2832532842527
"379257",36,"2. Married","1. White","2. HS Grad","1. Industrial",114.475713290347
"161228",37,"2. Married","1. White","2. HS Grad","1. Industrial",118.019753340006
"232829",33,"2. Married","1. White","2. HS Grad","1. Industrial",99.6894636984864
"234092",48,"2. Married","1. White","2. HS Grad","1. Industrial",118.884359339886
"84421",47,"2. Married","3. Asian","3. Some College","1. Industrial",118.884359339886
"157953",60,"2. Married","1. White","3. Some College","2. Information",123.089699847943
"86497",28,"1. Never Married","1. White","4. College Grad","2. Information",109.833985642199
"7737",28,"2. Married","1. White","3. Some College","2. Information",102.870246933215
"13471",48,"2. Married","1. White","4. College Grad","2. Information",163.515863976238
"448820",29,"2. Married","1. White","5. Advanced Degree","2. Information",117.146816914805
"85643",40,"1. Never Married","1. White","2. HS Grad","1. Industrial",92.3000614282589
"453480",32,"1. Never Married","1. White","5. Advanced Degree","2. Information",100.013486924706
"85241",33,"4. Divorced","1. White","2. HS Grad","2. Information",55.0697284222779
"84713",42,"2. Married","1. White","3. Some College","1. Industrial",148.413159102577
"155666",36,"2. Married","1. White","2. HS Grad","1. Industrial",115.375038556391
"83567",39,"2. Married","2. Black","1. < HS Grad","1. Industrial",73.7757432746946
"449541",44,"2. Married","1. White","5. Advanced Degree","2. Information",267.901086855275
"448368",43,"2. Married","1. White","2. HS Grad","1. Industrial",129.453644576625
"377037",44,"2. Married","1. White","1. < HS Grad","1. Industrial",96.3706528322308
"231115",29,"2. Married","3. Asian","5. Advanced Degree","2. Information",87.9810327856054
"305375",49,"2. Married","2. Black","3. Some College","2. Information",104.921506533664
"303226",47,"2. Married","2. Black","3. Some College","2. Information",130.982177377461
"85015",46,"2. Married","3. Asian","5. Advanced Degree","2. Information",190.547678564741
"228219",41,"4. Divorced","1. White","1. < HS Grad","1. Industrial",118.019753340006
"379558",52,"2. Married","1. White","2. HS Grad","2. Information",79.8549003093467
"82149",38,"2. Married","1. White","5. Advanced Degree","2. Information",148.413159102577
"156798",42,"2. Married","1. White","3. Some College","2. Information",74.4446382014083
"9029",56,"2. Married","2. Black","4. College Grad","1. Industrial",118.884359339886
"157633",39,"2. Married","1. White","2. HS Grad","1. Industrial",128.680488220624
"9820",29,"2. Married","2. Black","3. Some College","2. Information",87.9810327856054
"81776",33,"2. Married","1. White","2. HS Grad","1. Industrial",104.921506533664
"86230",41,"2. Married","1. White","2. HS Grad","2. Information",92.8958447894966
"84040",44,"1. Never Married","2. Black","1. < HS Grad","2. Information",70.4760196469445
"11619",45,"2. Married","1. White","5. Advanced Degree","2. Information",200.543262324662
"83620",42,"4. Divorced","1. White","2. HS Grad","1. Industrial",65.1108537153447
"10047",47,"2. Married","1. White","5. Advanced Degree","2. Information",127.115743812184
"11784",30,"2. Married","2. Black","4. College Grad","2. Information",94.0727147457005
"378962",42,"2. Married","1. White","4. College Grad","1. Industrial",125.525498433836
"153784",42,"2. Married","1. White","2. HS Grad","1. Industrial",75.0431540173515
"160819",39,"2. Married","1. White","4. College Grad","1. Industrial",128.680488220624
"380247",30,"2. Married","3. Asian","2. HS Grad","2. Information",59.0970640815891
"156716",38,"2. Married","1. White","2. HS Grad","1. Industrial",93.9371815810521
"7546",30,"2. Married","4. Other","3. Some College","1. Industrial",82.6796372966372
"374359",25,"1. Never Married","1. White","5. Advanced Degree","1. Industrial",118.884359339886
"301939",52,"2. Married","2. Black","2. HS Grad","2. Information",81.2832532842527
"452755",54,"2. Married","1. White","4. College Grad","1. Industrial",166.324941233877
"8667",62,"2. Married","1. White","4. College Grad","2. Information",99.6894636984864
"450499",57,"2. Married","3. Asian","5. Advanced Degree","2. Information",141.77517233318
"156050",32,"2. Married","1. White","4. College Grad","1. Industrial",143.134940811134
"160046",60,"2. Married","1. White","2. HS Grad","1. Industrial",35.0334213214995
"87749",40,"2. Married","1. White","4. College Grad","2. Information",109.833985642199
"8363",49,"2. Married","1. White","2. HS Grad","1. Industrial",111.014405508798
"234293",54,"2. Married","1. White","4. College Grad","1. Industrial",132.487821126123
"453187",35,"1. Never Married","1. White","1. < HS Grad","1. Industrial",73.7757432746946
"447835",46,"4. Divorced","1. White","2. HS Grad","2. Information",143.699710133813
"307486",42,"2. Married","1. White","2. HS Grad","1. Industrial",99.6894636984864
"82464",58,"2. Married","1. White","4. College Grad","2. Information",272.294783220064
"155315",30,"1. Never Married","1. White","4. College Grad","2. Information",200.543262324662
"380158",27,"1. Never Married","1. White","2. HS Grad","1. Industrial",85.3865890236244
"375387",55,"2. Married","1. White","1. < HS Grad","1. Industrial",109.833985642199
"85776",50,"2. Married","1. White","2. HS Grad","1. Industrial",61.0524210501246
"229893",55,"4. Divorced","1. White","2. HS Grad","1. Industrial",118.884359339886
"229973",40,"2. Married","1. White","3. Some College","1. Industrial",145.805163374625
"234361",27,"2. Married","1. White","2. HS Grad","1. Industrial",106.921814091211
"301929",49,"2. Married","1. White","3. Some College","2. Information",106.921814091211
"306789",50,"2. Married","1. White","4. College Grad","2. Information",127.115743812184
"230376",50,"2. Married","1. White","1. < HS Grad","1. Industrial",87.9810327856054
"380304",44,"2. Married","1. White","5. Advanced Degree","2. Information",144.47808766541
"306501",57,"2. Married","3. Asian","5. Advanced Degree","2. Information",160.409701962289
"376743",72,"2. Married","2. Black","5. Advanced Degree","1. Industrial",87.9810327856054
"374823",36,"2. Married","1. White","2. HS Grad","2. Information",54.5981500331442
"451590",63,"2. Married","2. Black","3. Some College","1. Industrial",109.833985642199
"227916",48,"2. Married","1. White","1. < HS Grad","1. Industrial",81.698421724729
"7993",46,"2. Married","1. White","4. College Grad","1. Industrial",114.475713290347
"230749",44,"2. Married","1. White","3. Some College","1. Industrial",94.0727147457005
"86325",32,"2. Married","4. Other","1. < HS Grad","1. Industrial",54.5981500331442
"451332",48,"2. Married","2. Black","5. Advanced Degree","2. Information",148.413159102577
"449978",31,"2. Married","1. White","2. HS Grad","1. Industrial",101.82435207568
"233080",54,"2. Married","1. White","2. HS Grad","2. Information",111.720849360989
"307530",29,"2. Married","1. White","3. Some College","1. Industrial",106.921814091211
"158949",35,"4. Divorced","1. White","2. HS Grad","1. Industrial",109.833985642199
"448811",50,"2. Married","1. White","1. < HS Grad","2. Information",92.8958447894966
"11623",25,"2. Married","1. White","3. Some College","1. Industrial",54.5981500331442
"10265",33,"1. Never Married","1. White","3. Some College","2. Information",96.3706528322308
"81295",33,"2. Married","1. White","2. HS Grad","1. Industrial",95.2307125669819
"305243",59,"2. Married","1. White","3. Some College","2. Information",139.00340805947
"228627",62,"5. Separated","2. Black","1. < HS Grad","1. Industrial",81.2832532842527
"375312",40,"2. Married","1. White","3. Some College","2. Information",87.9810327856054
"156535",52,"2. Married","1. White","5. Advanced Degree","1. Industrial",138.299126920883
"304223",29,"2. Married","1. White","2. HS Grad","1. Industrial",89.4924795180001
"307620",34,"2. Married","1. White","1. < HS Grad","1. Industrial",92.8958447894966
"85969",25,"1. Never Married","1. White","2. HS Grad","1. Industrial",54.5981500331442
"13360",66,"2. Married","1. White","4. College Grad","1. Industrial",94.0727147457005
"11113",43,"2. Married","1. White","2. HS Grad","2. Information",68.7480877337669
"305667",45,"2. Married","2. Black","2. HS Grad","2. Information",92.8958447894966
"234017",35,"2. Married","1. White","5. Advanced Degree","2. Information",114.475713290347
"302321",49,"2. Married","1. White","4. College Grad","2. Information",109.833985642199
"160726",46,"2. Married","1. White","2. HS Grad","2. Information",94.0727147457005
"452148",55,"2. Married","1. White","2. HS Grad","1. Industrial",101.82435207568
"306650",53,"2. Married","1. White","2. HS Grad","1. Industrial",133.232350826567
"452276",57,"2. Married","1. White","4. College Grad","2. Information",157.10350432345
"302510",51,"2. Married","1. White","5. Advanced Degree","2. Information",281.745970551857
"81228",59,"2. Married","1. White","5. Advanced Degree","2. Information",182.020620963512
"228440",45,"2. Married","1. White","3. Some College","2. Information",119.09923477134
"228053",56,"1. Never Married","1. White","2. HS Grad","1. Industrial",71.6867436659172
"10471",30,"2. Married","1. White","2. HS Grad","1. Industrial",85.3839403789827
"231759",21,"1. Never Married","1. White","2. HS Grad","1. Industrial",72.1504556815713
"155837",60,"2. Married","1. White","4. College Grad","1. Industrial",138.299126920883
"301193",48,"4. Divorced","1. White","1. < HS Grad","1. Industrial",109.833985642199
"158905",39,"4. Divorced","1. White","4. College Grad","2. Information",87.9810327856054
"453630",32,"1. Never Married","1. White","3. Some College","2. Information",115.375038556391
"303454",51,"2. Married","2. Black","5. Advanced Degree","2. Information",191.573683548412
"228501",47,"2. Married","1. White","4. College Grad","1. Industrial",86.6951548289402
"304450",44,"2. Married","1. White","2. HS Grad","2. Information",75.8522371953675
"86991",28,"1. Never Married","1. White","4. College Grad","1. Industrial",56.9055391446732
"231642",37,"2. Married","1. White","2. HS Grad","1. Industrial",92.8958447894966
"234448",31,"2. Married","1. White","2. HS Grad","1. Industrial",99.6894636984864
"80744",72,"2. Married","1. White","2. HS Grad","2. Information",92.8958447894966
"374333",50,"2. Married","1. White","3. Some College","1. Industrial",101.82435207568
"304748",36,"2. Married","1. White","3. Some College","1. Industrial",145.143601176911
"232443",27,"1. Never Married","2. Black","2. HS Grad","1. Industrial",76.8936025176112
"82862",41,"2. Married","1. White","4. College Grad","1. Industrial",127.115743812184
"380709",20,"1. Never Married","1. White","3. Some College","2. Information",82.6796372966372
"376073",49,"2. Married","2. Black","2. HS Grad","1. Industrial",99.6894636984864
"301216",25,"1. Never Married","1. White","2. HS Grad","1. Industrial",64.1592325660882
"233939",41,"2. Married","3. Asian","1. < HS Grad","1. Industrial",89.4924795180001
"451070",53,"1. Never Married","1. White","2. HS Grad","1. Industrial",87.9810327856054
"449595",45,"2. Married","1. White","4. College Grad","1. Industrial",127.115743812184
"157436",26,"2. Married","1. White","2. HS Grad","1. Industrial",123.089699847943
"452319",31,"2. Married","2. Black","3. Some College","2. Information",133.232350826567
"302474",32,"2. Married","3. Asian","5. Advanced Degree","2. Information",118.884359339886
"306734",46,"2. Married","1. White","2. HS Grad","1. Industrial",115.375038556391
"8827",55,"2. Married","1. White","3. Some College","1. Industrial",118.884359339886
"8301",49,"2. Married","1. White","4. College Grad","1. Industrial",148.413159102577
"85748",25,"2. Married","1. White","2. HS Grad","1. Industrial",61.1875264339915
"378593",62,"2. Married","1. White","2. HS Grad","1. Industrial",89.2428846644714
"158180",63,"5. Separated","2. Black","2. HS Grad","2. Information",127.901232979118
"82969",31,"1. Never Married","1. White","5. Advanced Degree","2. Information",128.680488220624
"228806",29,"2. Married","1. White","4. College Grad","1. Industrial",109.833985642199
"380329",51,"2. Married","1. White","2. HS Grad","1. Industrial",114.475713290347
"304795",28,"2. Married","3. Asian","2. HS Grad","1. Industrial",76.1296996370986
"87070",38,"2. Married","1. White","4. College Grad","2. Information",102.870246933215
"12400",46,"4. Divorced","1. White","3. Some College","1. Industrial",117.146816914805
"303868",37,"2. Married","1. White","3. Some College","2. Information",90.4819133566401
"7845",41,"4. Divorced","2. Black","3. Some College","2. Information",104.921506533664
"234319",59,"2. Married","2. Black","3. Some College","1. Industrial",73.7757432746946
"233042",51,"2. Married","1. White","3. Some College","1. Industrial",107.903923866876
"233381",26,"1. Never Married","2. Black","2. HS Grad","1. Industrial",99.6894636984864
"157856",34,"2. Married","2. Black","3. Some College","1. Industrial",60.1541246622441
"82387",32,"2. Married","1. White","2. HS Grad","2. Information",123.089699847943
"301852",23,"1. Never Married","1. White","3. Some College","1. Industrial",81.2832532842527
"82525",50,"2. Married","1. White","2. HS Grad","2. Information",143.134940811134
"449130",25,"1. Never Married","1. White","1. < HS Grad","1. Industrial",69.0981838087226
"84343",43,"2. Married","1. White","2. HS Grad","1. Industrial",78.9816745162994
"452636",36,"2. Married","2. Black","3. Some College","1. Industrial",128.680488220624
"233211",50,"2. Married","1. White","2. HS Grad","2. Information",54.5981500331442
"233851",34,"5. Separated","2. Black","2. HS Grad","2. Information",134.705375118879
"12501",55,"2. Married","3. Asian","5. Advanced Degree","2. Information",277.601417511009
"153789",39,"2. Married","2. Black","2. HS Grad","1. Industrial",78.214575693165
"87826",40,"2. Married","1. White","1. < HS Grad","1. Industrial",82.6796372966372
"8875",32,"2. Married","1. White","3. Some College","2. Information",117.146816914805
"229950",63,"2. Married","1. White","2. HS Grad","2. Information",118.884359339886
"85730",38,"1. Never Married","1. White","2. HS Grad","1. Industrial",109.833985642199
"377504",67,"2. Married","3. Asian","2. HS Grad","1. Industrial",59.0970640815891
"13650",39,"2. Married","1. White","2. HS Grad","1. Industrial",116.265324062503
"155246",31,"2. Married","3. Asian","2. HS Grad","1. Industrial",61.1875264339915
"227999",41,"1. Never Married","1. White","3. Some College","2. Information",114.475713290347
"157775",47,"2. Married","1. White","1. < HS Grad","1. Industrial",78.3924668009837
"453565",61,"2. Married","1. White","2. HS Grad","1. Industrial",122.263673892802
"8927",61,"2. Married","1. White","5. Advanced Degree","1. Industrial",148.413159102577
"380898",21,"2. Married","4. Other","2. HS Grad","1. Industrial",54.5981500331442
"85375",22,"1. Never Married","1. White","4. College Grad","1. Industrial",66.0446942318056
"83341",47,"2. Married","1. White","4. College Grad","1. Industrial",81.2832532842527
"8279",36,"2. Married","1. White","3. Some College","1. Industrial",127.901232979118
"13148",42,"2. Married","1. White","2. HS Grad","1. Industrial",123.089699847943
"84841",54,"4. Divorced","1. White","3. Some College","1. Industrial",104.921506533664
"85515",27,"2. Married","1. White","3. Some College","1. Industrial",87.9810327856054
"86629",36,"2. Married","1. White","2. HS Grad","1. Industrial",131.737801155001
"231027",35,"1. Never Married","1. White","2. HS Grad","2. Information",73.7757432746946
"157246",60,"2. Married","1. White","2. HS Grad","1. Industrial",104.921506533664
"13588",42,"5. Separated","1. White","2. HS Grad","1. Industrial",91.602615662534
"376203",41,"2. Married","2. Black","5. Advanced Degree","2. Information",123.089699847943
"83057",35,"1. Never Married","2. Black","3. Some College","1. Industrial",131.652698654268
"230814",34,"1. Never Married","2. Black","5. Advanced Degree","2. Information",309.5717712662
"307267",47,"2. Married","1. White","2. HS Grad","1. Industrial",84.8520440937874
"88046",59,"2. Married","1. White","2. HS Grad","1. Industrial",102.870246933215
"302698",29,"1. Never Married","1. White","3. Some College","2. Information",103.90247060316
"232536",32,"1. Never Married","1. White","1. < HS Grad","2. Information",94.0727147457005
"452654",30,"1. Never Married","1. White","3. Some College","2. Information",106.326864894674
"155330",33,"1. Never Married","3. Asian","2. HS Grad","1. Industrial",99.2552868268562
"307313",51,"2. Married","1. White","2. HS Grad","1. Industrial",133.232350826567
"159448",37,"2. Married","1. White","2. HS Grad","1. Industrial",78.3924668009837
"307280",63,"2. Married","1. White","5. Advanced Degree","2. Information",109.833985642199
"7401",41,"2. Married","1. White","2. HS Grad","1. Industrial",96.3706528322308
"11845",40,"2. Married","1. White","2. HS Grad","1. Industrial",109.833985642199
"307683",46,"2. Married","1. White","5. Advanced Degree","2. Information",281.745970551857
"8589",45,"4. Divorced","1. White","2. HS Grad","2. Information",94.0727147457005
"375802",48,"1. Never Married","1. White","4. College Grad","1. Industrial",200.543262324662
"305144",28,"2. Married","1. White","3. Some College","2. Information",87.9810327856054
"453214",65,"4. Divorced","2. Black","2. HS Grad","1. Industrial",87.9810327856054
"8360",50,"1. Never Married","1. White","2. HS Grad","1. Industrial",97.4932940453934
"302793",48,"2. Married","3. Asian","2. HS Grad","1. Industrial",95.6888119067371
"232060",37,"2. Married","1. White","2. HS Grad","2. Information",87.3874499713449
"87672",35,"2. Married","1. White","2. HS Grad","2. Information",94.6956951317194
"234303",33,"2. Married","1. White","2. HS Grad","1. Industrial",122.263673892802
"374328",41,"4. Divorced","1. White","4. College Grad","2. Information",132.487821126123
"158629",34,"2. Married","1. White","5. Advanced Degree","2. Information",96.3706528322308
"231349",33,"2. Married","1. White","2. HS Grad","1. Industrial",89.2428846644714
"377297",49,"1. Never Married","1. White","1. < HS Grad","1. Industrial",81.2832532842527
"230086",62,"2. Married","1. White","5. Advanced Degree","2. Information",73.7757432746946
"378700",43,"2. Married","2. Black","4. College Grad","2. Information",134.265677158654
"450507",48,"2. Married","1. White","4. College Grad","2. Information",109.547296634249
"159849",48,"2. Married","1. White","2. HS Grad","2. Information",70.4760196469445
"301682",50,"2. Married","1. White","4. College Grad","2. Information",144.204738892859
"448787",29,"1. Never Married","3. Asian","4. College Grad","2. Information",99.6894636984864
"82646",52,"2. Married","1. White","3. Some College","2. Information",94.0727147457005
"81754",46,"1. Never Married","1. White","2. HS Grad","2. Information",87.9810327856054
"14268",40,"1. Never Married","1. White","2. HS Grad","1. Industrial",94.0727147457005
"85704",43,"2. Married","1. White","2. HS Grad","1. Industrial",81.2832532842527
"229393",38,"1. Never Married","1. White","5. Advanced Degree","2. Information",107.903923866876
"83536",32,"2. Married","1. White","3. Some College","1. Industrial",101.402052302992
"375861",28,"1. Never Married","3. Asian","4. College Grad","2. Information",144.479422679423
"14368",33,"1. Never Married","1. White","5. Advanced Degree","1. Industrial",145.143601176911
"231204",41,"2. Married","1. White","2. HS Grad","2. Information",81.2832532842527
"302692",48,"4. Divorced","1. White","4. College Grad","2. Information",97.4932940453934
"307635",50,"2. Married","2. Black","4. College Grad","1. Industrial",117.146816914805
"83924",47,"2. Married","1. White","4. College Grad","1. Industrial",118.884359339886
"379220",40,"2. Married","1. White","2. HS Grad","1. Industrial",88.8164739741151
"453870",54,"4. Divorced","1. White","3. Some College","1. Industrial",86.6951548289402
"85521",24,"1. Never Married","2. Black","2. HS Grad","2. Information",75.3556793180091
"9738",34,"2. Married","1. White","2. HS Grad","2. Information",98.5993438603892
"157529",65,"2. Married","1. White","4. College Grad","2. Information",87.9810327856054
"307581",28,"2. Married","1. White","2. HS Grad","1. Industrial",109.642968140263
"380007",30,"5. Separated","1. White","2. HS Grad","2. Information",79.8549003093467
"8356",46,"2. Married","4. Other","5. Advanced Degree","2. Information",145.143601176911
"156461",47,"2. Married","1. White","2. HS Grad","1. Industrial",85.3839403789827
"380325",71,"2. Married","1. White","2. HS Grad","1. Industrial",99.6916283970721
"156598",39,"2. Married","1. White","3. Some College","2. Information",130.982177377461
"450872",41,"1. Never Married","1. White","1. < HS Grad","1. Industrial",68.7480877337669
"305335",33,"2. Married","1. White","2. HS Grad","1. Industrial",139.703071527658
"449727",76,"4. Divorced","1. White","5. Advanced Degree","2. Information",176.989650489877
"452029",20,"1. Never Married","1. White","2. HS Grad","1. Industrial",76.8936025176112
"232822",34,"2. Married","1. White","5. Advanced Degree","2. Information",134.705375118879
"158958",26,"1. Never Married","1. White","4. College Grad","2. Information",99.6894636984864
"233370",51,"2. Married","1. White","4. College Grad","2. Information",148.413159102577
"161344",25,"2. Married","1. White","1. < HS Grad","1. Industrial",79.8549003093467
"233394",62,"2. Married","1. White","3. Some College","1. Industrial",128.680488220624
"302882",32,"2. Married","1. White","3. Some College","1. Industrial",89.4924795180001
"452162",36,"2. Married","1. White","1. < HS Grad","1. Industrial",77.4976813877358
"82643",46,"2. Married","1. White","4. College Grad","2. Information",185.283317088498
"305066",48,"2. Married","1. White","4. College Grad","2. Information",128.680488220624
"11473",34,"4. Divorced","1. White","4. College Grad","2. Information",147.116689159978
"86233",39,"2. Married","1. White","3. Some College","2. Information",106.921814091211
"12787",50,"2. Married","1. White","5. Advanced Degree","1. Industrial",115.375038556391
"233174",54,"2. Married","1. White","3. Some College","2. Information",91.6992261117042
"303344",60,"2. Married","1. White","4. College Grad","1. Industrial",148.413159102577
"307057",48,"1. Never Married","1. White","5. Advanced Degree","2. Information",111.720849360989
"301337",47,"2. Married","1. White","4. College Grad","1. Industrial",126.323880709786
"81731",20,"1. Never Married","1. White","2. HS Grad","1. Industrial",65.1108537153447
"157918",60,"2. Married","1. White","2. HS Grad","1. Industrial",107.903923866876
"160058",37,"1. Never Married","1. White","4. College Grad","2. Information",54.5981500331442
"159843",46,"2. Married","1. White","4. College Grad","2. Information",134.705375118879
"157233",54,"2. Married","1. White","3. Some College","2. Information",72.4793162971252
"452313",32,"1. Never Married","2. Black","2. HS Grad","1. Industrial",91.6992261117042
"233665",35,"2. Married","1. White","4. College Grad","2. Information",154.68529299563
"157818",46,"2. Married","1. White","2. HS Grad","2. Information",114.475713290347
"13375",62,"2. Married","2. Black","2. HS Grad","2. Information",80.5731997057359
"154265",47,"2. Married","1. White","2. HS Grad","1. Industrial",94.0727147457005
"156078",28,"2. Married","3. Asian","5. Advanced Degree","1. Industrial",141.77517233318
"159873",26,"1. Never Married","1. White","4. College Grad","2. Information",94.0727147457005
"228330",49,"2. Married","1. White","2. HS Grad","1. Industrial",127.115743812184
"451634",28,"2. Married","1. White","2. HS Grad","2. Information",113.567089569751
"159186",61,"2. Married","1. White","2. HS Grad","2. Information",101.595538208147
"160564",42,"2. Married","1. White","4. College Grad","2. Information",134.705375118879
"447672",31,"2. Married","1. White","5. Advanced Degree","1. Industrial",127.115743812184
"452613",50,"2. Married","1. White","2. HS Grad","2. Information",87.9810327856054
"12504",44,"2. Married","1. White","1. < HS Grad","1. Industrial",78.3924668009837
"302206",46,"2. Married","2. Black","2. HS Grad","2. Information",318.342430056529
"234624",54,"2. Married","1. White","2. HS Grad","1. Industrial",82.6796372966372
